model,pose,f1,precision,recall,support
GaussianNB,bitilasana,0.6521739130434783,0.75,0.5769230769230769,26.0
SVC,bitilasana,0.6896551724137931,0.625,0.7692307692307693,26.0
AdaBoostClassifier,camatkarasana,0.0,0.0,0.0,16.0
DecisionTreeClassifier,camatkarasana,0.6000000000000001,0.6428571428571429,0.5625,16.0
QuadraticDiscriminantAnalysis,camatkarasana,0.6086956521739131,1.0,0.4375,16.0
MLPClassifier,camatkarasana,0.787878787878788,0.7647058823529411,0.8125,16.0
GaussianNB,camatkarasana,0.8484848484848485,0.8235294117647058,0.875,16.0
RandomForestClassifier,camatkarasana,0.8823529411764706,0.8333333333333334,0.9375,16.0
KNeighborsClassifier,camatkarasana,0.9090909090909091,0.8823529411764706,0.9375,16.0
SVC,camatkarasana,0.9375,0.9375,0.9375,16.0
AdaBoostClassifier,chakravakasana,0.0,0.0,0.0,21.0
GaussianNB,chakravakasana,0.2222222222222222,0.26666666666666666,0.19047619047619047,21.0
DecisionTreeClassifier,chakravakasana,0.22727272727272724,0.21739130434782608,0.23809523809523808,21.0
KNeighborsClassifier,chakravakasana,0.23529411764705882,0.3076923076923077,0.19047619047619047,21.0
SVC,chakravakasana,0.25806451612903225,0.4,0.19047619047619047,21.0
RandomForestClassifier,chakravakasana,0.31818181818181823,0.30434782608695654,0.3333333333333333,21.0
MLPClassifier,chakravakasana,0.31818181818181823,0.30434782608695654,0.3333333333333333,21.0
QuadraticDiscriminantAnalysis,chakravakasana,0.3636363636363636,0.34782608695652173,0.38095238095238093,21.0
AdaBoostClassifier,chaturanga dandasana,0.0,0.0,0.0,27.0
DecisionTreeClassifier,chaturanga dandasana,0.52,0.5652173913043478,0.48148148148148145,27.0
GaussianNB,chaturanga dandasana,0.5396825396825397,0.4722222222222222,0.6296296296296297,27.0
QuadraticDiscriminantAnalysis,chaturanga dandasana,0.6,0.4528301886792453,0.8888888888888888,27.0
SVC,chaturanga dandasana,0.6486486486486487,0.5106382978723404,0.8888888888888888,27.0
RandomForestClassifier,chaturanga dandasana,0.6792452830188679,0.6923076923076923,0.6666666666666666,27.0
MLPClassifier,chaturanga dandasana,0.6865671641791045,0.575,0.8518518518518519,27.0
KNeighborsClassifier,chaturanga dandasana,0.7272727272727273,0.7142857142857143,0.7407407407407407,27.0
AdaBoostClassifier,dandasana,0.0,0.0,0.0,18.0
DecisionTreeClassifier,dandasana,0.4666666666666666,0.5833333333333334,0.3888888888888889,18.0
GaussianNB,dandasana,0.5517241379310345,0.7272727272727273,0.4444444444444444,18.0
MLPClassifier,dandasana,0.6666666666666667,0.8333333333333334,0.5555555555555556,18.0
QuadraticDiscriminantAnalysis,dandasana,0.7586206896551725,1.0,0.6111111111111112,18.0
SVC,dandasana,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0
RandomForestClassifier,dandasana,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0
KNeighborsClassifier,dandasana,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
AdaBoostClassifier,dhanurasana,0.0,0.0,0.0,14.0
QuadraticDiscriminantAnalysis,dhanurasana,0.0,0.0,0.0,14.0
DecisionTreeClassifier,dhanurasana,0.5333333333333333,0.5,0.5714285714285714,14.0
GaussianNB,dhanurasana,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0
RandomForestClassifier,dhanurasana,0.7586206896551724,0.7333333333333333,0.7857142857142857,14.0
MLPClassifier,dhanurasana,0.8461538461538461,0.9166666666666666,0.7857142857142857,14.0
KNeighborsClassifier,dhanurasana,0.896551724137931,0.8666666666666667,0.9285714285714286,14.0
SVC,dhanurasana,0.896551724137931,0.8666666666666667,0.9285714285714286,14.0
AdaBoostClassifier,durvasasana,0.0,0.0,0.0,12.0
QuadraticDiscriminantAnalysis,durvasasana,0.0,0.0,0.0,12.0
DecisionTreeClassifier,durvasasana,0.48000000000000004,0.46153846153846156,0.5,12.0
GaussianNB,durvasasana,0.6206896551724139,0.5294117647058824,0.75,12.0
RandomForestClassifier,durvasasana,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
SVC,durvasasana,0.6923076923076924,0.6428571428571429,0.75,12.0
MLPClassifier,durvasasana,0.6956521739130435,0.7272727272727273,0.6666666666666666,12.0
