Model,Pose,CvFold,F1,Precision,Recall,Support
SVC,ananda balasana,2,0.8695652173913043,0.8333333333333334,0.9090909090909091,11.0
RandomForestClassifier,ananda balasana,1,0.8799999999999999,0.8461538461538461,0.9166666666666666,12.0
RandomForestClassifier,ananda balasana,4,0.8799999999999999,0.8461538461538461,0.9166666666666666,12.0
RandomForestClassifier,ananda balasana,3,0.888888888888889,0.8,1.0,12.0
GaussianNB,ananda balasana,0,0.9090909090909091,1.0,0.8333333333333334,12.0
RandomForestClassifier,ananda balasana,2,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
KNeighborsClassifier,ananda balasana,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
MLPClassifier,ananda balasana,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
SVC,ananda balasana,1,0.9600000000000001,0.9230769230769231,1.0,12.0
AdaBoostClassifier,anantasana,0,0.0,0.0,0.0,9.0
QuadraticDiscriminantAnalysis,anantasana,0,0.0,0.0,0.0,9.0
AdaBoostClassifier,anantasana,1,0.0,0.0,0.0,8.0
QuadraticDiscriminantAnalysis,anantasana,1,0.0,0.0,0.0,8.0
AdaBoostClassifier,anantasana,2,0.0,0.0,0.0,8.0
AdaBoostClassifier,anantasana,3,0.0,0.0,0.0,9.0
QuadraticDiscriminantAnalysis,anantasana,3,0.0,0.0,0.0,9.0
AdaBoostClassifier,anantasana,4,0.0,0.0,0.0,9.0
QuadraticDiscriminantAnalysis,anantasana,4,0.0,0.0,0.0,9.0
QuadraticDiscriminantAnalysis,anantasana,2,0.2222222222222222,1.0,0.125,8.0
DecisionTreeClassifier,anantasana,1,0.35294117647058826,0.3333333333333333,0.375,8.0
GaussianNB,anantasana,1,0.5555555555555556,0.5,0.625,8.0
MLPClassifier,anantasana,4,0.6250000000000001,0.7142857142857143,0.5555555555555556,9.0
GaussianNB,anantasana,4,0.6250000000000001,0.7142857142857143,0.5555555555555556,9.0
SVC,anantasana,4,0.6666666666666667,0.8333333333333334,0.5555555555555556,9.0
DecisionTreeClassifier,anantasana,4,0.6666666666666667,0.8333333333333334,0.5555555555555556,9.0
